Datum i vreme,Prognozirano opterecenje,Location
2021-09-11T00:00:00,4871.82080078125,N.Y.C.
2021-09-11T01:00:00,4896.12060546875,N.Y.C.
2021-09-11T02:00:00,4887.1572265625,N.Y.C.
2021-09-11T03:00:00,4884.3173828125,N.Y.C.
2021-09-11T04:00:00,4867.4619140625,N.Y.C.
2021-09-11T05:00:00,4901.40771484375,N.Y.C.
2021-09-11T06:00:00,4896.48193359375,N.Y.C.
2021-09-11T07:00:00,4924.2822265625,N.Y.C.
2021-09-11T08:00:00,4935.9833984375,N.Y.C.
2021-09-11T09:00:00,4920.39697265625,N.Y.C.
2021-09-11T10:00:00,4968.18310546875,N.Y.C.
2021-09-11T11:00:00,4960.25146484375,N.Y.C.
2021-09-11T12:00:00,4921.02197265625,N.Y.C.
2021-09-11T13:00:00,4953.9169921875,N.Y.C.
2021-09-11T14:00:00,5022.53369140625,N.Y.C.
2021-09-11T15:00:00,4939.87109375,N.Y.C.
2021-09-11T16:00:00,4982.60986328125,N.Y.C.
2021-09-11T17:00:00,5033.3037109375,N.Y.C.
2021-09-11T18:00:00,5011.2412109375,N.Y.C.
2021-09-11T19:00:00,4928.90234375,N.Y.C.
2021-09-11T20:00:00,4875.34228515625,N.Y.C.
2021-09-11T21:00:00,4876.72900390625,N.Y.C.
2021-09-11T22:00:00,4853.6982421875,N.Y.C.
2021-09-11T23:00:00,4822.0712890625,N.Y.C.
2021-09-12T00:00:00,5017.04345703125,N.Y.C.
2021-09-12T01:00:00,4959.85546875,N.Y.C.
2021-09-12T02:00:00,4954.09619140625,N.Y.C.
2021-09-12T03:00:00,4936.13671875,N.Y.C.
2021-09-12T04:00:00,4909.9658203125,N.Y.C.
2021-09-12T05:00:00,4982.95654296875,N.Y.C.
2021-09-12T06:00:00,4981.40234375,N.Y.C.
2021-09-12T07:00:00,5026.451171875,N.Y.C.
2021-09-12T08:00:00,4942.197265625,N.Y.C.
2021-09-12T09:00:00,5056.91064453125,N.Y.C.
2021-09-12T10:00:00,5060.99365234375,N.Y.C.
2021-09-12T11:00:00,5074.625,N.Y.C.
2021-09-12T12:00:00,5215.529296875,N.Y.C.
